Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C8",0603,2,5.6p,
"C10, C11, C12, C16, C17, C2, C3, C4, C5, C7",0603,10,0.1u,
"C13, C14",0603,2,0.01u,
"C15, C18",0603,2,10u,
C9,0603,1,2.2u,
D1,D_SOD-123F,1,RB161MM-20TR,C123070
"D10, D2, D3, D4, D5, D6, D7, D8, D9",D_SOD-523,9,1SS387,C146426
F1,0805,1,Polyfuse,C524650
"H1, H2, H3, H4, H5, H6, H7, H8",MountingHole_2.2mm_M2,8,MountingHole,
J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,C165948
J4,TE_84953-4_1x04-1MP_P1.0mm_Horizontal,1,84953-4,C590896
"ML-SW1, ML-SW2, ML-SW3, ML-SW4",MagLevSwitch_Up,4,MagLevSwich,
"R1, R2",0603,2,27,
"R10, R11, R12, R9",0603,4,10k,
"R3, R4",0603,2,5.1k,
"R5, R6, R7, R8",0603,4,1k,
"SW1, SW10, SW11, SW13, SW14, SW16, SW17, SW18, SW19, SW2, SW21, SW22, SW23, SW3, SW4, SW5, SW6, SW8, SW9",MX-Hotswap-1U,19,SW_Push,
SW12,MX-Hotswap-1.75U,1,SW_Push,
"SW15, SW24",MX-Hotswap-2.25U,2,SW_Push,
SW20,MX-Hotswap-1.25U,1,SW_Push,
"SW25, SW27, SW28",SW_SPST_SKQG_WithStem,3,SKQGAFE010,C202424
SW26,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,1,RotaryEncoder_Switch,
SW7,MX-Hotswap-1.5U,1,SW_Push,
TP1,TestPoint_Pad_D1.5mm,1,Conn_01x01_Pin,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U2,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q16JVSSIM,C82317
U3,TO-252-3_TabPin2,1,LM1117RS-3.3,C126023
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,NX3225SA-12MHz-STD-CSR-6,C481400
